2	0.0	-489.768
2	0.1	-344.817
2	0.2	-288.792
2	0.3	-249.814
2	0.4	-224.35
2	0.5	-208.714
2	0.6	-188.44
2	0.7	-182.016
2	0.8	-167.349
2	0.9	-172.155
2	1.0	-164.868
3	0.0	-491.52
3	0.1	-312.646
3	0.2	-246.411
3	0.3	-204.558
3	0.4	-183.514
3	0.5	-164.877
3	0.6	-155.067
3	0.7	-149.378
3	0.8	-143.493
3	0.9	-141.891
3	1.0	-145.94
4	0.0	-487.07
4	0.1	-292.737
4	0.2	-222.446
4	0.3	-189.232
4	0.4	-164.223
4	0.5	-151.869
4	0.6	-141.27
4	0.7	-138.766
4	0.8	-137.987
4	0.9	-137.386
4	1.0	-144.913
5	0.0	-494.095
5	0.1	-295.03
5	0.2	-215.3
5	0.3	-174.196
5	0.4	-162.888
5	0.5	-154.092
5	0.6	-148.874
5	0.7	-150.309
5	0.8	-163.712
5	0.9	-166.705
5	1.0	-177.673
6	0.0	-496.827
6	0.1	-324.337
6	0.2	-232.835
6	0.3	-198.258
6	0.4	-173.724
6	0.5	-175.734
6	0.6	-195.05
6	0.7	-203.69
6	0.8	-213.957
6	0.9	-234.951
6	1.0	-277.808
7	0.0	-497.542
7	0.1	-381.779
7	0.2	-264.43
7	0.3	-227.366
7	0.4	-224.823
7	0.5	-210.484
7	0.6	-256.812
7	0.7	-260.436
7	0.8	-278.242
7	0.9	-291.171
7	1.0	-494.651
8	0.0	-498.902
8	0.1	-437.724
8	0.2	-333.132
8	0.3	-274.854
8	0.4	-284.009
8	0.5	-287.771
8	0.6	-334.494
8	0.7	-319.776
8	0.8	-350.582
8	0.9	-495.42
8	1.0	-498.23
9	0.0	-498.039
9	0.1	-480.858
9	0.2	-375.898
9	0.3	-360.896
9	0.4	-370.059
9	0.5	-404.618
9	0.6	-396.098
9	0.7	-452.312
9	0.8	-491.163
9	0.9	-500.915
9	1.0	-503.202
10	0.0	-503.434
10	0.1	-490.611
10	0.2	-457.973
10	0.3	-433.136
10	0.4	-447.02
10	0.5	-460.806
10	0.6	-484.692
10	0.7	-488.519
10	0.8	-500.203
10	0.9	-502.589
10	1.0	-502.572
11	0.0	-500.981
11	0.1	-496.997
11	0.2	-485.787
11	0.3	-484.746
11	0.4	-464.462
11	0.5	-484.475
11	0.6	-489.389
11	0.7	-490.497
11	0.8	-501.094
11	0.9	-501.359
11	1.0	-502.406
12	0.0	-499.054
12	0.1	-501.534
12	0.2	-484.655
12	0.3	-489.668
12	0.4	-482.801
12	0.5	-491.503
12	0.6	-493.388
12	0.7	-493.423
12	0.8	-501.147
12	0.9	-503.179
12	1.0	-502.084
